Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Churn Value,City,Zip Code,Latitude,Longitude,Population,GeoFIPS,Per capita personal income (dollars) 2/,Personal income (thousands of dollars) _x,Population (persons) 1/,   Employer contributions for employee pension and insurance funds 5/,   Employer contributions for government social insurance ,   Farm proprietors' income ,   Nonfarm proprietors' income ,  Farm proprietors employment 6/,  Income maintenance benefits 1/,  Nonfarm proprietors employment ,  Per capita income maintenance benefits 4/,  Per capita retirement and other 4/,  Per capita unemployment insurance compensation 4/,  Proprietors' income ,  Retirement and other ,  Supplements to wages and salaries ,  Unemployment insurance compensation ,  Wages and salaries , Average nonfarm proprietors' income , Average wages and salaries ," Dividends, interest, and rent 2/", Earnings by place of work , Net earnings by place of residence ," Per capita dividends, interest, and rent 4/", Per capita net earnings 4/, Per capita personal current transfer receipts 4/, Per capita personal income 4/, Personal current transfer receipts , Population (persons) 3/, Proprietors employment , Wage and salary employment ,Average earnings per job (dollars) ,Personal income (thousands of dollars) _y,Total employment (number of jobs) 
0,0,11,Offer D,1,11.59,0,1,Fiber Optic,29,0,1,0,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,0,78,0,1,0,1,1,1,North Hollywood,91605,34.207295,-118.400022,57146,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,15,Offer D,1,29.11,0,1,Fiber Optic,29,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,65,0,1,0,0,0,1,Covina,91722,34.097345,-117.906736,33817,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,1,Offer E,0,0.0,0,1,DSL,12,0,1,0,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,1,77,0,1,1,0,0,1,El Monte,91732,34.074492,-118.01462,62660,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,3,Offer E,0,0.0,0,1,DSL,28,0,0,1,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,1,67,0,1,0,0,0,1,La Puente,91746,34.038983,-117.991372,30802,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,13,Offer D,1,32.68,1,1,Cable,11,0,1,1,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,1,68,0,1,0,0,0,1,Rowland Heights,91748,33.976753,-117.897367,46342,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,16,Offer D,1,9.43,0,1,Fiber Optic,9,0,0,0,1,1,1,1,1,Month-to-Month,1,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,0,68,0,1,0,0,0,1,Ontario,91764,34.074087,-117.605618,49474,071,49270.0,108081645.0,2193656.0,9378264.0,3855998.0,112291.0,7345828.0,900.0,4133385.0,289023.0,1884.0,9175.0,106.0,7458119.0,20127119.0,13234262.0,231872.0,53932299.0,25416.0,59676.0,13013249.0,74624680.0,70576020.0,5932.0,32173.0,11165.0,49270.0,24492376.0,2193656.0,289923.0,903758.0,62516.0,108081645.0,1193681.0
0,0,8,,1,1.78,0,1,Fiber Optic,7,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,1,66,0,1,0,0,0,1,Alpine,91901,32.827184,-116.703729,16486,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,24,Offer C,1,30.87,1,1,Fiber Optic,15,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,1,69,0,1,0,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,4,Offer E,1,31.61,1,1,Fiber Optic,2,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,0,74,0,1,0,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,2,32,Offer C,1,47.34,1,1,Fiber Optic,10,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,1,76,0,1,1,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,1,24,Offer C,1,16.1,0,1,Cable,12,0,0,1,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.4500000000003,1,77,0,1,1,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,54,Offer B,1,12.08,1,1,DSL,5,1,1,0,1,1,1,1,1,One Year,0,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,0,70,0,1,0,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,2,Offer E,1,13.17,0,1,Fiber Optic,10,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,0,74,0,1,0,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,27,,0,0.0,0,1,Cable,13,1,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,30.75,805.1,0.0,140,0.0,945.1,1,71,0,1,1,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,1,11,,1,29.54,0,0,,0,0,0,0,0,0,0,0,0,Month-to-Month,0,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,1,79,0,1,1,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,2,55,Offer B,1,42.82,1,1,Fiber Optic,27,0,1,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,0,66,0,1,1,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,3,Offer E,1,9.22,1,1,Fiber Optic,14,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,1,77,0,1,0,0,0,1,San Diego,92122,32.85723,-117.209774,34902,073,74326.0,243506541.0,3276208.0,21449772.0,9255097.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,74326.0,37875441.0,3276208.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,1,Offer E,1,35.09,0,1,Fiber Optic,17,0,0,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,0,80,0,1,0,0,0,1,Thermal,92274,33.53604,-116.119222,17018,065,51415.0,127195983.0,2473902.0,8547416.0,3433428.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,51415.0,26297613.0,2473902.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
0,0,5,Offer E,0,0.0,0,1,DSL,26,0,1,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,0,77,0,1,0,0,0,1,Riverside,92509,34.004379,-117.447864,63999,065,51415.0,127195983.0,2473902.0,8547416.0,3433428.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,51415.0,26297613.0,2473902.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
0,0,20,,1,48.73,1,1,Fiber Optic,12,0,1,1,0,0,1,0,0,Month-to-Month,1,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,0,77,0,1,0,0,0,1,Hemet,92544,33.644585,-116.871544,39264,065,51415.0,127195983.0,2473902.0,8547416.0,3433428.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,51415.0,26297613.0,2473902.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
1,4,5,Offer E,1,45.76,1,1,Fiber Optic,22,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,0,72,0,1,1,0,0,1,Moreno Valley,92557,33.970661,-117.255039,46214,065,51415.0,127195983.0,2473902.0,8547416.0,3433428.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,51415.0,26297613.0,2473902.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
1,2,27,,1,7.02,0,1,Cable,25,1,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,0,80,0,1,1,0,0,1,Perris,92571,33.828289,-117.201666,26357,065,51415.0,127195983.0,2473902.0,8547416.0,3433428.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,51415.0,26297613.0,2473902.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
0,0,4,,1,48.35,1,1,Cable,24,0,0,1,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,0,74,0,1,0,0,0,1,Anaheim,92807,33.848733,-117.788357,36301,059,83553.0,263290135.0,3151184.0,18368657.0,9318319.0,21854.0,23441223.0,191.0,4060610.0,628408.0,1289.0,8858.0,89.0,23463077.0,27914420.0,27686976.0,281086.0,137331567.0,37303.0,78116.0,59580750.0,188481620.0,171453269.0,18907.0,54409.0,10236.0,83553.0,32256116.0,3151184.0,628599.0,1758050.0,78973.0,263290135.0,2386649.0
0,0,1,,1,45.81,1,1,Fiber Optic,21,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,0,68,0,1,0,0,0,1,Brea,92823,33.924143,-117.79387,1408,059,83553.0,263290135.0,3151184.0,18368657.0,9318319.0,21854.0,23441223.0,191.0,4060610.0,628408.0,1289.0,8858.0,89.0,23463077.0,27914420.0,27686976.0,281086.0,137331567.0,37303.0,78116.0,59580750.0,188481620.0,171453269.0,18907.0,54409.0,10236.0,83553.0,32256116.0,3151184.0,628599.0,1758050.0,78973.0,263290135.0,2386649.0
1,3,65,Offer B,1,18.39,1,1,Fiber Optic,28,1,0,1,0,1,1,0,1,Month-to-Month,0,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,0,78,0,1,1,0,0,1,Yorba Linda,92887,33.884073,-117.732197,20893,059,83553.0,263290135.0,3151184.0,18368657.0,9318319.0,21854.0,23441223.0,191.0,4060610.0,628408.0,1289.0,8858.0,89.0,23463077.0,27914420.0,27686976.0,281086.0,137331567.0,37303.0,78116.0,59580750.0,188481620.0,171453269.0,18907.0,54409.0,10236.0,83553.0,32256116.0,3151184.0,628599.0,1758050.0,78973.0,263290135.0,2386649.0
1,3,49,Offer B,1,22.92,1,1,Fiber Optic,14,0,1,0,0,0,1,0,1,Month-to-Month,0,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,1,112,0,1,1,0,0,1,Summerland,93067,34.420998,-119.60137,576,083,75720.0,33607554.0,443837.0,2511097.0,1060758.0,203551.0,3622018.0,1028.0,615564.0,70322.0,1387.0,9280.0,100.0,3825569.0,4118834.0,3571855.0,44474.0,15051354.0,51506.0,64136.0,9828861.0,22448778.0,18999821.0,22145.0,42808.0,10767.0,75720.0,4778872.0,443837.0,71350.0,234678.0,73355.0,33607554.0,306028.0
1,1,43,Offer B,1,14.52,1,1,Fiber Optic,5,0,1,1,1,1,1,0,1,Month-to-Month,1,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,1,77,0,1,1,0,0,1,Santa Barbara,93101,34.419203,-119.710008,31727,083,75720.0,33607554.0,443837.0,2511097.0,1060758.0,203551.0,3622018.0,1028.0,615564.0,70322.0,1387.0,9280.0,100.0,3825569.0,4118834.0,3571855.0,44474.0,15051354.0,51506.0,64136.0,9828861.0,22448778.0,18999821.0,22145.0,42808.0,10767.0,75720.0,4778872.0,443837.0,71350.0,234678.0,73355.0,33607554.0,306028.0
0,0,56,Offer B,1,48.8,1,1,Fiber Optic,12,1,0,1,0,1,1,0,1,One Year,1,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,80,0,1,1,0,0,1,Alpaugh,93201,35.869626,-119.498771,1054,107,47295.0,22585661.0,477544.0,1896674.0,670740.0,1082616.0,1332461.0,3478.0,1213364.0,42847.0,2541.0,10298.0,197.0,2415077.0,4917802.0,2567414.0,93893.0,9178599.0,31098.0,50089.0,2649255.0,14161090.0,13711347.0,5548.0,28712.0,13036.0,47295.0,6225059.0,477544.0,46325.0,183247.0,61685.0,22585661.0,229572.0
1,7,20,,1,5.31,1,1,Fiber Optic,10,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,1,75,0,1,1,0,0,1,Camp Nelson,93208,36.057458,-118.591951,191,107,47295.0,22585661.0,477544.0,1896674.0,670740.0,1082616.0,1332461.0,3478.0,1213364.0,42847.0,2541.0,10298.0,197.0,2415077.0,4917802.0,2567414.0,93893.0,9178599.0,31098.0,50089.0,2649255.0,14161090.0,13711347.0,5548.0,28712.0,13036.0,47295.0,6225059.0,477544.0,46325.0,183247.0,61685.0,22585661.0,229572.0
