Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Churn Value,Zip Code,Population,Per capita personal income,Personal incomeX,Employer contributions,Farm proprietors income,Nonfarm proprietors income,Farm proprietors employment,Income maintenance benefits,Nonfarm proprietors employment,Per capita income maintenance benefits,Per capita retirement and other,Per capita unemployment insurance compensation,Proprietors income,Retirement and other,Supplements to wages and salaries,Unemployment insurance compensation,Wages and salaries,Average nonfarm proprietors income,Average wages and salaries,"Dividends, interest, and rent",Earnings by place of work,Net earnings by place of residence,"Per capita dividends, interest, and rent",Per capita net earnings,Per capita personal current transfer receipts,Personal current transfer receipts,Proprietors employment,Wage and salary employment,Average earnings per job,Personal incomeY,Total employment
0,0,13,3,1,32.68,1,1,0,11,0,1,1,0,1,1,0,0,0,1,0,106.9,1364.3,0.0,10,424.84,1799.14,1,68,0,1,0,0,0,1,91748,46342,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,16,3,1,9.43,0,1,2,9,0,0,0,1,1,1,1,1,0,1,0,94.45,1511.2,0.0,0,150.88,1662.08,0,68,0,1,0,0,0,1,91764,49474,49270.0,108081645.0,9378264.0,112291.0,7345828.0,900.0,4133385.0,289023.0,1884.0,9175.0,106.0,7458119.0,20127119.0,13234262.0,231872.0,53932299.0,25416.0,59676.0,13013249.0,74624680.0,70576020.0,5932.0,32173.0,11165.0,24492376.0,289923.0,903758.0,62516.0,108081645.0,1193681.0
0,0,8,5,1,1.78,0,1,2,7,0,1,0,0,0,0,0,1,0,1,0,74.5,606.55,0.0,0,14.24,620.79,1,66,0,1,0,0,0,1,91901,16486,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,24,2,1,30.87,1,1,2,15,0,0,0,0,0,0,0,1,0,1,0,76.1,1712.7,0.0,0,740.88,2453.58,1,69,0,1,0,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,4,4,1,31.61,1,1,2,2,0,0,0,0,1,1,0,1,0,1,0,95.45,396.1,0.0,0,126.44,522.54,0,74,0,1,0,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,2,32,2,1,47.34,1,1,2,10,0,0,0,0,0,0,0,1,0,1,0,74.9,2303.35,0.0,0,1514.88,3818.23,1,76,0,1,1,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,1,24,2,1,16.1,0,1,0,12,0,0,1,0,1,1,1,1,0,1,0,93.15,2231.05,0.0,0,386.4,2617.4500000000003,1,77,0,1,1,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,54,1,1,12.08,1,1,1,5,1,1,0,1,1,1,1,1,1,0,0,82.45,4350.1,0.0,0,652.32,5002.42,0,70,0,1,0,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,2,4,1,13.17,0,1,2,10,0,0,0,0,0,0,0,1,0,1,0,70.35,139.05,0.0,0,26.34,165.39,0,74,0,1,0,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,27,5,0,0.0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,1,30.75,805.1,0.0,140,0.0,945.1,1,71,0,1,1,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,1,11,5,1,29.54,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,19.95,214.75,0.0,0,324.94,539.69,1,79,0,1,1,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,2,55,1,1,42.82,1,1,2,27,0,1,1,0,0,0,0,0,0,1,0,85.45,4874.7,0.0,90,2355.1,7319.799999999999,0,66,0,1,1,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,3,4,1,9.22,1,1,2,14,0,1,0,0,0,0,0,1,0,1,0,81.35,233.7,0.0,0,27.660000000000004,261.36,1,77,0,1,0,0,0,1,92122,34902,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,1,4,1,35.09,0,1,2,17,0,0,1,0,0,0,0,0,0,1,0,75.3,75.3,0.0,20,35.09,130.39,0,80,0,1,0,0,0,1,92274,17018,51415.0,127195983.0,8547416.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,26297613.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
0,0,5,4,0,0.0,0,1,1,26,0,1,0,0,0,0,0,1,0,0,0,28.45,131.05,0.0,0,0.0,131.05,0,77,0,1,0,0,0,1,92509,63999,51415.0,127195983.0,8547416.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,26297613.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
0,0,20,5,1,48.73,1,1,2,12,0,1,1,0,0,1,0,0,0,1,0,94.1,1782.4,0.0,80,974.6,2837.0,0,77,0,1,0,0,0,1,92544,39264,51415.0,127195983.0,8547416.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,26297613.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
1,4,5,4,1,45.76,1,1,2,22,0,0,0,0,0,0,0,1,0,1,0,74.35,334.8,0.0,0,228.8,563.6,0,72,0,1,1,0,0,1,92557,46214,51415.0,127195983.0,8547416.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,26297613.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
1,2,27,5,1,7.02,0,1,0,25,1,0,0,0,0,0,0,1,0,1,0,75.2,1929.35,0.0,0,189.54,2118.89,0,80,0,1,1,0,0,1,92571,26357,51415.0,127195983.0,8547416.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,26297613.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
0,0,4,5,1,48.35,1,1,0,24,0,0,1,0,1,0,0,1,0,1,0,89.2,346.2,0.0,0,193.4,539.6,0,74,0,1,0,0,0,1,92807,36301,83553.0,263290135.0,18368657.0,21854.0,23441223.0,191.0,4060610.0,628408.0,1289.0,8858.0,89.0,23463077.0,27914420.0,27686976.0,281086.0,137331567.0,37303.0,78116.0,59580750.0,188481620.0,171453269.0,18907.0,54409.0,10236.0,32256116.0,628599.0,1758050.0,78973.0,263290135.0,2386649.0
0,0,1,5,1,45.81,1,1,2,21,0,0,0,0,1,0,0,1,0,1,0,85.7,85.7,0.0,0,45.81,131.51,0,68,0,1,0,0,0,1,92823,1408,83553.0,263290135.0,18368657.0,21854.0,23441223.0,191.0,4060610.0,628408.0,1289.0,8858.0,89.0,23463077.0,27914420.0,27686976.0,281086.0,137331567.0,37303.0,78116.0,59580750.0,188481620.0,171453269.0,18907.0,54409.0,10236.0,32256116.0,628599.0,1758050.0,78973.0,263290135.0,2386649.0
1,3,65,1,1,18.39,1,1,2,28,1,0,1,0,1,1,0,1,0,0,0,105.25,6786.4,0.0,0,1195.35,7981.75,0,78,0,1,1,0,0,1,92887,20893,83553.0,263290135.0,18368657.0,21854.0,23441223.0,191.0,4060610.0,628408.0,1289.0,8858.0,89.0,23463077.0,27914420.0,27686976.0,281086.0,137331567.0,37303.0,78116.0,59580750.0,188481620.0,171453269.0,18907.0,54409.0,10236.0,32256116.0,628599.0,1758050.0,78973.0,263290135.0,2386649.0
1,3,49,1,1,22.92,1,1,2,14,0,1,0,0,0,1,0,1,0,0,1,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,1,112,0,1,1,0,0,1,93067,576,75720.0,33607554.0,2511097.0,203551.0,3622018.0,1028.0,615564.0,70322.0,1387.0,9280.0,100.0,3825569.0,4118834.0,3571855.0,44474.0,15051354.0,51506.0,64136.0,9828861.0,22448778.0,18999821.0,22145.0,42808.0,10767.0,4778872.0,71350.0,234678.0,73355.0,33607554.0,306028.0
1,1,43,1,1,14.52,1,1,2,5,0,1,1,1,1,1,0,1,0,1,0,110.75,4687.9,0.0,0,624.36,5312.259999999999,1,77,0,1,1,0,0,1,93101,31727,75720.0,33607554.0,2511097.0,203551.0,3622018.0,1028.0,615564.0,70322.0,1387.0,9280.0,100.0,3825569.0,4118834.0,3571855.0,44474.0,15051354.0,51506.0,64136.0,9828861.0,22448778.0,18999821.0,22145.0,42808.0,10767.0,4778872.0,71350.0,234678.0,73355.0,33607554.0,306028.0
0,0,56,1,1,48.8,1,1,2,12,1,0,1,0,1,1,0,1,1,1,0,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,80,0,1,1,0,0,1,93201,1054,47295.0,22585661.0,1896674.0,1082616.0,1332461.0,3478.0,1213364.0,42847.0,2541.0,10298.0,197.0,2415077.0,4917802.0,2567414.0,93893.0,9178599.0,31098.0,50089.0,2649255.0,14161090.0,13711347.0,5548.0,28712.0,13036.0,6225059.0,46325.0,183247.0,61685.0,22585661.0,229572.0
1,7,20,5,1,5.31,1,1,2,10,0,0,0,0,1,1,1,1,0,1,0,94.55,1899.65,0.0,0,106.2,2005.85,1,75,0,1,1,0,0,1,93208,191,47295.0,22585661.0,1896674.0,1082616.0,1332461.0,3478.0,1213364.0,42847.0,2541.0,10298.0,197.0,2415077.0,4917802.0,2567414.0,93893.0,9178599.0,31098.0,50089.0,2649255.0,14161090.0,13711347.0,5548.0,28712.0,13036.0,6225059.0,46325.0,183247.0,61685.0,22585661.0,229572.0
0,0,2,5,1,47.47,1,1,2,19,0,1,0,0,0,1,1,1,0,0,0,89.5,161.5,0.0,0,94.94,256.44,0,69,0,1,0,0,0,1,93215,37280,44862.0,41098858.0,4177897.0,653901.0,2903686.0,1365.0,1774711.0,92708.0,1937.0,8473.0,165.0,3557587.0,7762617.0,5666327.0,151239.0,20615463.0,31321.0,57109.0,5266223.0,29839377.0,26144068.0,5748.0,28538.0,10576.0,9688567.0,94073.0,360987.0,65572.0,41098858.0,455060.0
0,0,52,5,0,0.0,0,1,1,18,0,1,0,0,1,1,1,0,0,1,0,49.15,2550.9,0.0,30,0.0,2580.9,1,76,0,1,0,0,0,1,92592,46171,51415.0,127195983.0,8547416.0,184698.0,7743633.0,2063.0,3827603.0,338408.0,1547.0,8975.0,108.0,7928331.0,22202206.0,11980844.0,267804.0,49411833.0,22883.0,57489.0,18059499.0,69321008.0,82838871.0,7300.0,33485.0,10630.0,26297613.0,340471.0,859500.0,57769.0,127195983.0,1199971.0
0,0,2,5,1,43.99,0,1,1,27,1,0,0,0,0,0,0,1,0,1,0,49.25,91.1,0.0,0,87.98,179.07999999999998,1,69,0,1,0,0,0,1,92129,47224,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,1,33,5,1,27.78,1,1,2,8,0,0,0,0,1,1,0,1,0,1,0,94.5,3105.55,0.0,0,916.74,4022.29,1,72,0,1,1,0,0,1,92129,47224,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,30,5,1,45.88,1,1,2,19,1,1,1,0,0,0,0,1,0,0,1,91.7,2758.15,0.0,0,1376.4,4134.55,0,69,0,1,0,0,0,1,92129,47224,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,20,5,1,44.44,1,1,2,13,0,0,1,0,1,1,0,0,0,1,0,98.55,1842.8,0.0,120,888.8,2851.6,1,73,0,1,0,0,0,1,92129,47224,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
0,0,46,5,1,2.37,1,1,2,20,1,1,1,0,1,1,1,1,1,1,0,110.0,4874.8,0.0,0,109.02,4983.820000000001,0,65,0,1,0,0,0,1,93606,807,50549.0,51316407.0,4693574.0,747413.0,3964750.0,4022.0,2530263.0,112685.0,2492.0,10823.0,158.0,4712163.0,10987089.0,6427716.0,160850.0,24176646.0,35184.0,55572.0,6845221.0,35316525.0,30792984.0,6743.0,30332.0,13474.0,13678202.0,116707.0,435053.0,64007.0,51316407.0,551760.0
1,1,7,5,1,21.91,1,1,0,11,0,0,0,0,1,1,0,1,0,1,0,95.6,644.35,0.0,0,153.37,797.72,1,74,0,1,1,0,0,1,93662,26213,50549.0,51316407.0,4693574.0,747413.0,3964750.0,4022.0,2530263.0,112685.0,2492.0,10823.0,158.0,4712163.0,10987089.0,6427716.0,160850.0,24176646.0,35184.0,55572.0,6845221.0,35316525.0,30792984.0,6743.0,30332.0,13474.0,13678202.0,116707.0,435053.0,64007.0,51316407.0,551760.0
0,0,4,5,1,36.93,0,1,2,18,0,0,0,0,1,0,0,1,0,1,0,78.85,292.8,0.0,0,147.72,440.52,0,65,0,1,0,0,0,1,93675,3146,50549.0,51316407.0,4693574.0,747413.0,3964750.0,4022.0,2530263.0,112685.0,2492.0,10823.0,158.0,4712163.0,10987089.0,6427716.0,160850.0,24176646.0,35184.0,55572.0,6845221.0,35316525.0,30792984.0,6743.0,30332.0,13474.0,13678202.0,116707.0,435053.0,64007.0,51316407.0,551760.0
0,0,55,5,1,37.38,1,1,2,7,0,0,1,0,1,1,1,0,1,1,0,100.0,5509.3,0.0,100,2055.9,7665.200000000001,0,66,0,1,0,0,0,1,93706,35790,50549.0,51316407.0,4693574.0,747413.0,3964750.0,4022.0,2530263.0,112685.0,2492.0,10823.0,158.0,4712163.0,10987089.0,6427716.0,160850.0,24176646.0,35184.0,55572.0,6845221.0,35316525.0,30792984.0,6743.0,30332.0,13474.0,13678202.0,116707.0,435053.0,64007.0,51316407.0,551760.0
1,1,20,5,1,5.37,0,1,2,24,0,1,0,0,0,0,0,1,0,1,0,73.65,1463.5,0.0,0,107.4,1570.9,1,71,0,1,1,0,0,1,93928,254,65123.0,28189179.0,2398500.0,678332.0,3258616.0,775.0,656266.0,52263.0,1516.0,9413.0,169.0,3936948.0,4074390.0,3348339.0,73038.0,12377209.0,62350.0,57813.0,5728852.0,19662496.0,17656633.0,13235.0,40791.0,11098.0,4803694.0,53038.0,214092.0,73606.0,28189179.0,267130.0
